02/14/2019 - 11:20:10
Cell            0
A_A             0

Data - V,I
-0.2	21.55
-0.19	21.584
-0.18	21.571
-0.17	21.555
-0.16	21.546
-0.15	21.575
-0.14	21.571
-0.13	21.574
-0.12	21.55
-0.11	21.572
-0.1	21.568
-0.09	21.578
-0.08	21.551
-0.07	21.552
-0.06	21.575
-0.05	21.572
-0.04	21.57
-0.03	21.549
-0.02	21.549
-0.01	21.557
0	21.552
0.01	21.521
0.02	21.523
0.03	21.552
0.04	21.533
0.05	21.533
0.06	21.525
0.07	21.531
0.08	21.545
0.09	21.512
0.1	21.51
0.11	21.539
0.12	21.517
0.13	21.525
0.14	21.499
0.15	21.506
0.16	21.501
0.17	21.519
0.18	21.508
0.19	21.514
0.2	21.511
0.21	21.52
0.22	21.517
0.23	21.5
0.24	21.533
0.25	21.533
0.26	21.506
0.27	21.53
0.28	21.524
0.29	21.521
0.3	21.52
0.31	21.485
0.32	21.511
0.33	21.495
0.34	21.512
0.35	21.506
0.36	21.463
0.37	21.463
0.38	21.472
0.39	21.467
0.4	21.459
0.41	21.437
0.42	21.421
0.43	21.436
0.44	21.423
0.45	21.421
0.46	21.412
0.47	21.396
0.48	21.369
0.49	21.351
0.5	21.333
0.51	21.321
0.52	21.304
0.53	21.268
0.54	21.251
0.55	21.216
0.56	21.163
0.57	21.132
0.58	21.088
0.59	21.071
0.6	21.017
0.61	20.946
0.62	20.897
0.63	20.831
0.64	20.781
0.65	20.714
0.66	20.618
0.67	20.554
0.68	20.484
0.69	20.38
0.7	20.307
0.71	20.218
0.72	20.138
0.73	20.028
0.74	19.928
0.75	19.827
0.76	19.723
0.77	19.608
0.78	19.497
0.79	19.369
0.8	19.24
0.81	19.114
0.82	18.986
0.83	18.82
0.84	18.688
0.85	18.516
0.86	18.357
0.87	18.172
0.88	17.971
0.89	17.77
0.9	17.561
0.91	17.309
0.92	17.057
0.93	16.745
0.94	16.4
0.95	16.055
0.96	15.635
0.97	15.154
0.98	14.633
0.99	13.997
1	13.281
1.01	12.446
1.02	11.465
1.03	10.335
1.04	8.9922
1.05	7.4173
1.06	5.6127
1.07	3.5084
1.08	1.0466
1.09	-1.7668
1.1	-4.9379
1.11	-8.5696
1.12	-12.602
1.13	-17.041
1.14	-21.942
1.15	-27.3
1.16	-32.952
1.17	-39.051
1.18	-45.541
1.19	-52.368
1.2	-59.491
1.21	-66.621
1.22	-74.036
1.23	-81.314
1.24	-88.65
1.25	-95.567
1.26	-102.05
1.27	-107.18
1.28	-110.31
1.29	-109.91
1.3	-98.614
